id,year,month,day
7313830,2008,1,1
7313831,2008,1,1
7313832,2008,1,1
7313833,2008,1,1
7313834,2008,1,1
7313835,2008,1,1
7313836,2008,1,1
7313837,2008,1,1
7313838,2008,1,1
7313839,2008,1,1
7313840,2008,1,1
7313841,2008,1,1
7313842,2008,1,1
7313843,2008,1,1
7313844,2008,1,1
7313845,2008,1,1
7313846,2008,1,1
7313847,2008,1,1
7313848,2008,1,1
7313849,2008,1,1
7313850,2008,1,1
7313851,2008,1,1
7313852,2008,1,1
7313853,2008,1,1
7313854,2008,1,1
7313855,2008,1,1
7313856,2008,1,1
7313857,2008,1,1
7313858,2008,1,1
7313859,2008,1,1
7313860,2008,1,1
7313861,2008,1,1
7313862,2008,1,1
7313863,2008,1,1
7313864,2008,1,1
7313865,2008,1,1
7313866,2008,1,1
7313867,2008,1,1
7313868,2008,1,1
7313869,2008,1,1
7313870,2008,1,1
7313871,2008,1,1
7313872,2008,1,1
7313873,2008,1,1
7313874,2008,1,1
7313875,2008,1,1
7313876,2008,1,1
7313877,2008,1,1
7313878,2008,1,1
7313879,2008,1,1
7313880,2008,1,1
7313881,2008,1,1
7313882,2008,1,1
7313883,2008,1,1
7313884,2008,1,1
7313885,2008,1,1
7313886,2008,1,1
7313887,2008,1,1
7313888,2008,1,1
7313889,2008,1,1
7313890,2008,1,1
7313891,2008,1,1
7313892,2008,1,1
7313893,2008,1,1
7313894,2008,1,1
7313895,2008,1,1
7313896,2008,1,1
7313897,2008,1,1
7313898,2008,1,1
7313899,2008,1,1
7313900,2008,1,1
7313901,2008,1,1
7313902,2008,1,1
7313903,2008,1,1
7313904,2008,1,1
7313905,2008,1,1
7313906,2008,1,1
7313907,2008,1,1
7313908,2008,1,1
7313909,2008,1,1
7313910,2008,1,1
7313911,2008,1,1
7313912,2008,1,1
7313913,2008,1,1
7313914,2008,1,1
7313915,2008,1,1
7313916,2008,1,1
7313917,2008,1,1
7313918,2008,1,1
7313919,2008,1,1
7313920,2008,1,1
7313921,2008,1,1
7313922,2008,1,1
7313923,2008,1,1
7313924,2008,1,1
7313925,2008,1,1
7313926,2008,1,1
7313927,2008,1,1
7313928,2008,1,1
7313929,2008,1,1
7313930,2008,1,1
7313931,2008,1,1
7313932,2008,1,1
7313933,2008,1,1
7313934,2008,1,1
7313935,2008,1,1
7313936,2008,1,1
7313937,2008,1,1
7313938,2008,1,1
7313939,2008,1,1
7313940,2008,1,1
7313941,2008,1,1
7313942,2008,1,1
7313943,2008,1,1
7313944,2008,1,1
